Tabelle: 1000A-3022
Personen: Alter (5er-Jahresgruppen) - Familienstand (ausführlich)/Familienstand - Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;;Männlich;2462150;e;80780;e;66401;e;236784;e;25871;e;563769;e;195104;e;122225;e;361969;e;413116;e;29981;e;125667;e;42943;e;27958;e;86661;e;41028;e;41698;e
;;Weiblich;2296544;e;75449;e;69146;e;217117;e;23842;e;527297;e;181315;e;112507;e;331319;e;384879;e;27845;e;128534;e;39081;e;26217;e;78325;e;36843;e;36660;e
;Ledig;Insgesamt;3737916;e;124567;e;114528;e;349354;e;39765;e;840996;e;289164;e;173519;e;541221;e;634297;e;45022;e;216011;e;67041;e;44594;e;132546;e;62562;e;62733;e
;;Männlich;2072042;e;68963;e;58080;e;195970;e;22038;e;465539;e;160732;e;97333;e;305522;e;354640;e;25257;e;111234;e;37662;e;24505;e;73702;e;35112;e;35755;e
;;Weiblich;1665876;e;55600;e;56450;e;153382;e;17729;e;375456;e;128429;e;76184;e;235703;e;279658;e;19766;e;104773;e;29377;e;20090;e;58846;e;27447;e;26980;e
;Verheiratet;Insgesamt;872039;e;26506;e;16638;e;85070;e;8722;e;209167;e;72250;e;48575;e;140952;e;152841;e;10986;e;33537;e;12409;e;7781;e;22767;e;11484;e;12349;e
;;Männlich;309874;e;9194;e;5991;e;29818;e;3200;e;75266;e;25687;e;17395;e;51267;e;53906;e;3813;e;12251;e;4114;e;2521;e;7646;e;3744;e;4056;e
;;Weiblich;562163;e;17315;e;10645;e;55251;e;5524;e;133898;e;46561;e;31178;e;89682;e;98938;e;7174;e;21282;e;8297;e;5261;e;15121;e;7737;e;8290;e
;Verwitwet;Insgesamt;1522;e;44;e;419;e;122;e;14;e;269;e;84;e;62;e;162;e;184;e;9;e;57;e;20;e;18;e;30;e;7;e;27;e
;;Männlich;388;e;11;e;164;e;20;e;3;e;55;e;23;e;11;e;35;e;33;e;4;e;8;e;4;e;3;e;4;e;3;e;8;e
;;Weiblich;1131;e;30;e;257;e;101;e;14;e;213;e;65;e;50;e;125;e;148;e;3;e;47;e;16;e;14;e;25;e;6;e;18;e
;Geschieden;Insgesamt;37648;e;1273;e;894;e;3765;e;465;e;9157;e;3122;e;2123;e;4936;e;6049;e;594;e;1806;e;630;e;484;e;1034;e;653;e;658;e
;;Männlich;10924;e;368;e;282;e;1078;e;129;e;2650;e;962;e;597;e;1443;e;1769;e;185;e;551;e;159;e;130;e;284;e;143;e;186;e
;;Weiblich;26727;e;907;e;616;e;2688;e;335;e;6503;e;2158;e;1524;e;3490;e;4277;e;413;e;1254;e;470;e;352;e;749;e;508;e;471;e
;Eingetragene Lebenspartnerschaften;Insgesamt;683;e;24;e;14;e;56;e;8;e;146;e;42;e;39;e;61;e;88;e;14;e;97;e;25;e;12;e;36;e;11;e;10;e
;;Männlich;390;e;15;e;12;e;28;e;4;e;76;e;23;e;22;e;44;e;44;e;10;e;70;e;15;e;10;e;19;e;6;e;3;e
;;Weiblich;290;e;10;e;4;e;30;e;3;e;66;e;18;e;19;e;19;e;47;e;7;e;30;e;8;e;5;e;13;e;7;e;6;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;12;e;-;;-;;-;;-;;3;e;-;;-;;3;e;3;e;-;;3;e;-;;-;;3;e;3;e;-;
;;Männlich;9;e;-;;-;;-;;-;;-;;-;;-;;3;e;3;e;-;;3;e;-;;-;;3;e;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;462;e;21;e;11;e;43;e;7;e;120;e;43;e;26;e;44;e;44;e;13;e;38;e;12;e;6;e;17;e;15;e;3;e
;;Männlich;187;e;9;e;8;e;12;e;6;e;50;e;20;e;6;e;18;e;15;e;-;;30;e;3;e;-;;8;e;5;e;-;
;;Weiblich;278;e;10;e;6;e;35;e;4;e;75;e;25;e;18;e;24;e;30;e;13;e;7;e;6;e;6;e;6;e;12;e;-;
;Ohne Angabe;Insgesamt;108410;e;3799;e;3040;e;15488;e;736;e;31214;e;11710;e;10387;e;5907;e;4489;e;1182;e;2655;e;1889;e;1280;e;8560;e;3138;e;2585;e
;;Männlich;68336;e;2219;e;1873;e;9852;e;497;e;20136;e;7657;e;6859;e;3637;e;2705;e;717;e;1519;e;981;e;786;e;5001;e;2017;e;1685;e
;;Weiblich;40077;e;1579;e;1169;e;5632;e;237;e;11083;e;4051;e;3532;e;2271;e;1782;e;467;e;1138;e;906;e;490;e;3558;e;1122;e;896;e
30 bis 34 Jahre;Insgesamt;Insgesamt;5470694;e;175884;e;150610;e;494232;e;50354;e;1183459;e;414630;e;261756;e;752104;e;889016;e;63962;e;312864;e;140681;e;89604;e;248368;e;122444;e;120013;e
;;Männlich;2799966;e;89659;e;75042;e;254809;e;26349;e;604522;e;210701;e;134558;e;387804;e;456779;e;33061;e;156174;e;70638;e;45704;e;128256;e;63206;e;62277;e
;;Weiblich;2670725;e;86227;e;75565;e;239426;e;24009;e;578938;e;203931;e;127195;e;364297;e;432238;e;30902;e;156691;e;70044;e;43898;e;120110;e;59239;e;57734;e
;Ledig;Insgesamt;2980019;e;96221;e;99127;e;250703;e;30218;e;614606;e;214103;e;126343;e;377109;e;463080;e;34151;e;219212;e;88007;e;56868;e;158512;e;77524;e;74231;e
;;Männlich;1718034;e;55362;e;52616;e;147646;e;17361;e;354998;e;123615;e;74815;e;223789;e;272529;e;20179;e;115730;e;49168;e;32177;e;90254;e;44516;e;43276;e
;;Weiblich;1261985;e;40855;e;46509;e;103060;e;12860;e;259609;e;90489;e;51531;e;153323;e;190550;e;13969;e;103479;e;38838;e;24691;e;68263;e;33004;e;30958;e
;Verheiratet;Insgesamt;2232109;e;70306;e;44220;e;214649;e;17993;e;504232;e;177604;e;117939;e;349373;e;396228;e;26321;e;83531;e;46956;e;28743;e;75806;e;38413;e;39797;e
;;Männlich;965085;e;30114;e;18994;e;93156;e;7967;e;219137;e;76153;e;51086;e;153513;e;172595;e;11399;e;36183;e;19230;e;11958;e;31470;e;15760;e;16374;e
;;Weiblich;1267021;e;40194;e;25228;e;121489;e;10024;e;285092;e;101454;e;66851;e;195862;e;223633;e;14924;e;47345;e;27727;e;16788;e;44338;e;22651;e;23422;e
;Verwitwet;Insgesamt;4910;e;163;e;673;e;459;e;43;e;923;e;308;e;234;e;566;e;694;e;66;e;182;e;115;e;80;e;201;e;112;e;92;e
;;Männlich;1130;e;39;e;246;e;91;e;9;e;193;e;68;e;33;e;116;e;149;e;6;e;44;e;29;e;12;e;43;e;26;e;17;e
;;Weiblich;3783;e;128;e;425;e;366;e;37;e;725;e;243;e;203;e;453;e;547;e;59;e;141;e;85;e;70;e;156;e;88;e;75;e
;Geschieden;Insgesamt;146774;e;5283;e;3379;e;14123;e;1389;e;33136;e;11434;e;8120;e;18294;e;23447;e;2180;e;6815;e;3565;e;2670;e;5883;e;3593;e;3458;e
;;Männlich;52823;e;1950;e;1216;e;5237;e;527;e;11862;e;4089;e;3006;e;6577;e;8483;e;807;e;2396;e;1221;e;892;e;2072;e;1274;e;1227;e
;;Weiblich;93953;e;3337;e;2165;e;8888;e;862;e;21276;e;7347;e;5117;e;11713;e;14967;e;1374;e;4423;e;2341;e;1776;e;3812;e;2321;e;2233;e
;Eingetragene Lebenspartnerschaften;Insgesamt;3358;e;110;e;97;e;231;e;40;e;716;e;229;e;182;e;313;e;412;e;60;e;486;e;113;e;77;e;152;e;71;e;65;e
;;Männlich;1719;e;45;e;65;e;100;e;27;e;364;e;116;e;79;e;163;e;226;e;25;e;292;e;53;e;34;e;71;e;25;e;32;e
;;Weiblich;1643;e;62;e;31;e;131;e;16;e;353;e;111;e;106;e;151;e;183;e;34;e;196;e;63;e;41;e;86;e;47;e;31;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;36;e;-;;-;;3;e;-;;7;e;3;e;4;e;-;;5;e;-;;10;e;-;;-;;-;;-;;-;
;;Männlich;26;e;-;;-;;-;;-;;4;e;3;e;4;e;3;e;7;e;-;;9;e;-;;-;;-;;-;;-;
;;Weiblich;12;e;-;;-;;3;e;-;;-;;3;e;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;2005;e;50;e;73;e;162;e;22;e;466;e;136;e;104;e;177;e;240;e;27;e;250;e;65;e;50;e;92;e;46;e;44;e
;;Männlich;785;e;16;e;52;e;43;e;9;e;163;e;61;e;37;e;66;e;94;e;10;e;138;e;22;e;14;e;29;e;20;e;17;e
;;Weiblich;1217;e;31;e;23;e;117;e;10;e;305;e;78;e;69;e;109;e;146;e;20;e;110;e;44;e;37;e;66;e;29;e;31;e
;Ohne Angabe;Insgesamt;101478;e;3748;e;3040;e;13908;e;643;e;29372;e;10812;e;8830;e;6270;e;4908;e;1162;e;2379;e;1860;e;1113;e;7717;e;2687;e;2324;e
;;Männlich;60367;e;2131;e;1854;e;8533;e;450;e;17796;e;6603;e;5503;e;3582;e;2701;e;636;e;1382;e;911;e;621;e;4325;e;1588;e;1333;e
;;Weiblich;41109;e;1618;e;1186;e;5373;e;196;e;11574;e;4211;e;3329;e;2686;e;2210;e;523;e;999;e;946;e;494;e;3397;e;1099;e;991;e
35 bis 39 Jahre;Insgesamt;Insgesamt;5384817;e;174211;e;138799;e;481075;e;45575;e;1128333;e;401509;e;253606;e;719454;e;863286;e;61228;e;295039;e;170087;e;103021;e;274605;e;136686;e;137365;e
;;Männlich;2724799;e;86460;e;69036;e;243412;e;23217;e;567827;e;201235;e;128041;e;364745;e;438035;e;31243;e;148914;e;85438;e;52537;e;141621;e;70740;e;71732;e
;;Weiblich;2660018;e;87751;e;69766;e;237665;e;22357;e;560508;e;200277;e;125567;e;354711;e;425248;e;29983;e;146123;e;84651;e;50486;e;132981;e;65943;e;65632;e
;Ledig;Insgesamt;2067322;e;65040;e;67783;e;163436;e;19939;e;390511;e;138173;e;80981;e;232761;e;295170;e;22373;e;166869;e;86661;e;53772;e;143496;e;70969;e;69391;e
;;Männlich;1203987;e;37238;e;36774;e;96526;e;11312;e;228807;e;80417;e;48212;e;139547;e;175126;e;13476;e;90368;e;48899;e;30893;e;83302;e;41699;e;41386;e
;;Weiblich;863337;e;27806;e;31006;e;66911;e;8624;e;161702;e;57757;e;32770;e;93217;e;120041;e;8896;e;76505;e;37760;e;22881;e;60197;e;29267;e;28003;e
;Verheiratet;Insgesamt;2913365;e;94708;e;60336;e;276066;e;22299;e;641909;e;229908;e;149203;e;441911;e;514864;e;33589;e;110668;e;72298;e;41936;e;110713;e;55147;e;57817;e
;;Männlich;1351093;e;43279;e;27608;e;128667;e;10503;e;297770;e;105994;e;69396;e;207064;e;241672;e;15596;e;51448;e;32399;e;18814;e;49878;e;24692;e;26314;e
;;Weiblich;1562270;e;51426;e;32730;e;147400;e;11795;e;344138;e;123918;e;79802;e;234844;e;273189;e;17995;e;59223;e;39897;e;23123;e;60833;e;30452;e;31502;e
;Verwitwet;Insgesamt;11490;e;390;e;858;e;1084;e;114;e;2228;e;879;e;558;e;1417;e;1801;e;146;e;408;e;334;e;208;e;470;e;299;e;291;e
;;Männlich;2596;e;78;e;348;e;256;e;27;e;477;e;166;e;119;e;322;e;361;e;31;e;98;e;57;e;42;e;101;e;65;e;52;e
;;Weiblich;8892;e;316;e;509;e;831;e;88;e;1753;e;716;e;437;e;1097;e;1441;e;114;e;313;e;276;e;166;e;372;e;232;e;235;e
;Geschieden;Insgesamt;293365;e;10238;e;6857;e;27969;e;2652;e;65322;e;22179;e;15242;e;36109;e;45163;e;4000;e;13846;e;8716;e;5953;e;13608;e;7746;e;7765;e
;;Männlich;113863;e;3954;e;2606;e;11253;e;1013;e;25204;e;8612;e;6015;e;14002;e;17747;e;1578;e;5211;e;3226;e;2259;e;5245;e;3012;e;2927;e
;;Weiblich;179503;e;6282;e;4250;e;16716;e;1642;e;40115;e;13566;e;9231;e;22107;e;27414;e;2420;e;8633;e;5493;e;3697;e;8366;e;4735;e;4843;e
;Eingetragene Lebenspartnerschaften;Insgesamt;5966;e;211;e;214;e;436;e;53;e;1335;e;424;e;267;e;544;e;783;e;62;e;818;e;222;e;105;e;257;e;109;e;108;e
;;Männlich;3028;e;86;e;130;e;194;e;32;e;658;e;222;e;127;e;296;e;408;e;24;e;489;e;95;e;35;e;128;e;51;e;55;e
;;Weiblich;2936;e;127;e;82;e;245;e;24;e;681;e;205;e;143;e;245;e;377;e;36;e;332;e;127;e;72;e;126;e;61;e;54;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;88;e;-;;3;e;7;e;-;;16;e;9;e;3;e;16;e;16;e;3;e;12;e;3;e;3;e;4;e;3;e;-;
;;Männlich;65;e;-;;3;e;3;e;-;;13;e;3;e;-;;10;e;13;e;3;e;12;e;-;;-;;3;e;-;;-;
;;Weiblich;26;e;-;;-;;7;e;-;;5;e;3;e;3;e;5;e;4;e;-;;3;e;3;e;3;e;3;e;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;3318;e;116;e;126;e;284;e;38;e;683;e;275;e;123;e;277;e;422;e;46;e;447;e;118;e;58;e;153;e;108;e;48;e
;;Männlich;1358;e;31;e;70;e;83;e;14;e;276;e;128;e;44;e;105;e;181;e;14;e;258;e;36;e;17;e;55;e;33;e;8;e
;;Weiblich;1962;e;83;e;60;e;201;e;22;e;409;e;143;e;76;e;169;e;240;e;30;e;191;e;85;e;39;e;101;e;74;e;41;e
;Ohne Angabe;Insgesamt;89904;e;3513;e;2627;e;11795;e;480;e;26330;e;9663;e;7230;e;6421;e;5069;e;1008;e;1962;e;1731;e;987;e;5898;e;2305;e;1941;e
;;Männlich;48810;e;1802;e;1497;e;6432;e;314;e;14619;e;5693;e;4122;e;3391;e;2529;e;523;e;1033;e;726;e;477;e;2909;e;1188;e;989;e
;;Weiblich;41095;e;1712;e;1133;e;5362;e;169;e;11713;e;3966;e;3109;e;3028;e;2539;e;489;e;930;e;1004;e;506;e;2986;e;1115;e;954;e
40 bis 44 Jahre;Insgesamt;Insgesamt;5190461;e;174772;e;129390;e;469008;e;42142;e;1088152;e;396625;e;246640;e;689864;e;838853;e;58383;e;256666;e;168971;e;101125;e;264026;e;131543;e;133392;e
;;Männlich;2600204;e;85412;e;64010;e;232651;e;21451;e;539409;e;195303;e;122632;e;344830;e;419444;e;29176;e;129752;e;85905;e;52517;e;138327;e;68793;e;70051;e
;;Weiblich;2590255;e;89362;e;65383;e;236359;e;20694;e;548741;e;201320;e;124010;e;345030;e;419412;e;29209;e;126911;e;83064;e;48604;e;125701;e;62753;e;63344;e
;Ledig;Insgesamt;1521444;e;49023;e;49487;e;120394;e;14473;e;277533;e;101449;e;58001;e;163797;e;214820;e;16011;e;121666;e;69224;e;42833;e;112600;e;55068;e;55063;e
;;Männlich;889745;e;27819;e;26817;e;70751;e;8383;e;162064;e;58514;e;34713;e;97261;e;126651;e;9593;e;67300;e;40168;e;25517;e;67376;e;33270;e;33551;e
;;Weiblich;631698;e;21205;e;22668;e;49646;e;6088;e;115467;e;42938;e;23291;e;66539;e;88171;e;6420;e;54367;e;29057;e;17316;e;45223;e;21801;e;21510;e
;Verheiratet;Insgesamt;3104017;e;105160;e;65542;e;292927;e;22963;e;679189;e;249274;e;157994;e;460160;e;543840;e;34891;e;110597;e;83209;e;47828;e;124140;e;62063;e;64252;e
;;Männlich;1477191;e;49318;e;31186;e;138643;e;11062;e;322576;e;117558;e;74827;e;221204;e;260654;e;16522;e;52517;e;39165;e;22705;e;59242;e;29454;e;30558;e
;;Weiblich;1626828;e;55840;e;34358;e;154282;e;11898;e;356611;e;131713;e;83167;e;238955;e;283184;e;18371;e;58077;e;44040;e;25120;e;64900;e;32606;e;33695;e
;Verwitwet;Insgesamt;23601;e;821;e;1015;e;2303;e;241;e;5015;e;1729;e;1160;e;3031;e;3762;e;315;e;925;e;698;e;433;e;995;e;606;e;553;e
;;Männlich;4653;e;180;e;323;e;453;e;46;e;953;e;320;e;205;e;532;e;688;e;54;e;192;e;163;e;92;e;220;e;115;e;116;e
;;Weiblich;18946;e;641;e;692;e;1853;e;196;e;4060;e;1412;e;953;e;2496;e;3072;e;264;e;733;e;536;e;338;e;777;e;490;e;437;e
;Geschieden;Insgesamt;455700;e;16562;e;10897;e;43002;e;4047;e;102154;e;35180;e;23149;e;56419;e;70183;e;6052;e;20440;e;14016;e;8958;e;21178;e;11798;e;11669;e
;;Männlich;183386;e;6473;e;4261;e;17445;e;1698;e;40750;e;13750;e;9480;e;22392;e;28350;e;2506;e;8124;e;5648;e;3695;e;8941;e;4971;e;4909;e
;;Weiblich;272316;e;10092;e;6642;e;25554;e;2351;e;61402;e;21429;e;13670;e;34028;e;41833;e;3549;e;12316;e;8370;e;5262;e;12234;e;6825;e;6756;e
;Eingetragene Lebenspartnerschaften;Insgesamt;8308;e;318;e;286;e;677;e;62;e;1858;e;588;e;378;e;848;e;1156;e;114;e;1016;e;283;e;127;e;343;e;133;e;124;e
;;Männlich;4197;e;143;e;157;e;313;e;29;e;916;e;336;e;179;e;408;e;626;e;58;e;578;e;130;e;48;e;169;e;53;e;48;e
;;Weiblich;4111;e;173;e;131;e;360;e;35;e;945;e;250;e;196;e;440;e;531;e;58;e;436;e;151;e;77;e;173;e;80;e;74;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;217;e;4;e;11;e;16;e;3;e;57;e;19;e;5;e;14;e;23;e;3;e;41;e;5;e;3;e;5;e;6;e;3;e
;;Männlich;171;e;3;e;11;e;7;e;3;e;42;e;15;e;3;e;9;e;18;e;3;e;35;e;4;e;3;e;6;e;4;e;3;e
;;Weiblich;44;e;5;e;-;;7;e;-;;12;e;-;;4;e;3;e;3;e;-;;4;e;3;e;-;;-;;-;;3;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;3941;e;134;e;179;e;308;e;40;e;888;e;320;e;160;e;304;e;497;e;45;e;578;e;127;e;52;e;169;e;67;e;63;e
;;Männlich;1687;e;36;e;107;e;99;e;21;e;363;e;153;e;66;e;123;e;212;e;12;e;354;e;24;e;18;e;56;e;26;e;15;e
;;Weiblich;2252;e;100;e;68;e;212;e;22;e;527;e;164;e;93;e;184;e;283;e;30;e;226;e;101;e;30;e;118;e;43;e;50;e
;Ohne Angabe;Insgesamt;73232;e;2746;e;1968;e;9384;e;315;e;21455;e;8070;e;5791;e;5295;e;4571;e;950;e;1400;e;1409;e;894;e;4594;e;1807;e;1671;e
;;Männlich;39172;e;1438;e;1148;e;4940;e;211;e;11742;e;4661;e;3155;e;2903;e;2244;e;430;e;647;e;601;e;444;e;2315;e;897;e;852;e
;;Weiblich;34061;e;1308;e;822;e;4447;e;108;e;9715;e;3407;e;2638;e;2394;e;2332;e;519;e;752;e;810;e;450;e;2279;e;907;e;817;e
45 bis 49 Jahre;Insgesamt;Insgesamt;4810038;e;169179;e;114811;e;456867;e;39431;e;1041215;e;377248;e;232308;e;658227;e;790508;e;53820;e;209203;e;140515;e;81721;e;219066;e;110793;e;114354;e
;;Männlich;2407595;e;82635;e;57575;e;226474;e;19843;e;515557;e;186699;e;114772;e;327671;e;395110;e;26800;e;105691;e;71875;e;42773;e;115560;e;58026;e;60071;e
;;Weiblich;2402447;e;86543;e;57237;e;230396;e;19588;e;525657;e;190552;e;117534;e;330557;e;395402;e;27018;e;103518;e;68643;e;38946;e;103508;e;52765;e;54284;e
;Ledig;Insgesamt;1108439;e;38355;e;36266;e;93622;e;11020;e;209344;e;76688;e;43095;e;125029;e;162175;e;11539;e;81311;e;44594;e;27183;e;74507;e;36414;e;37298;e
;;Männlich;650799;e;21468;e;19861;e;55266;e;6412;e;122213;e;44168;e;25702;e;74085;e;94905;e;7097;e;45712;e;26390;e;16502;e;45512;e;22343;e;23158;e
;;Weiblich;457643;e;16883;e;16402;e;38352;e;4609;e;87134;e;32522;e;17396;e;50942;e;67268;e;4444;e;35599;e;18202;e;10682;e;28998;e;14071;e;14141;e
;Verheiratet;Insgesamt;3005473;e;104410;e;61144;e;293204;e;22309;e;669305;e;244131;e;152373;e;447888;e;524774;e;33320;e;98423;e;76814;e;43289;e;114523;e;58613;e;60964;e
;;Männlich;1465852;e;50144;e;30273;e;141895;e;10926;e;325199;e;118835;e;73553;e;218992;e;257935;e;15947;e;48160;e;37445;e;21412;e;56664;e;28609;e;29867;e
;;Weiblich;1539618;e;54263;e;30868;e;151309;e;11383;e;344103;e;125299;e;78822;e;228898;e;266838;e;17373;e;50265;e;39368;e;21874;e;57858;e;30006;e;31097;e
;Verwitwet;Insgesamt;43278;e;1459;e;1225;e;4381;e;399;e;9685;e;3393;e;2229;e;5720;e;6916;e;565;e;1627;e;1258;e;732;e;1661;e;1016;e;1008;e
;;Männlich;8508;e;308;e;352;e;871;e;63;e;1949;e;616;e;426;e;1091;e;1302;e;108;e;281;e;240;e;127;e;333;e;226;e;213;e
;;Weiblich;34769;e;1155;e;870;e;3513;e;334;e;7737;e;2780;e;1802;e;4626;e;5613;e;455;e;1343;e;1019;e;603;e;1330;e;792;e;792;e
;Geschieden;Insgesamt;581704;e;22258;e;14010;e;57249;e;5347;e;133004;e;45210;e;29292;e;73957;e;91282;e;7511;e;25345;e;16370;e;9737;e;24459;e;13175;e;13498;e
;;Männlich;243990;e;9323;e;5773;e;24077;e;2240;e;55213;e;18578;e;12260;e;30391;e;38017;e;3207;e;10169;e;7188;e;4365;e;11063;e;6077;e;6047;e
;;Weiblich;337711;e;12932;e;8238;e;33171;e;3104;e;77791;e;26633;e;17035;e;43564;e;53264;e;4303;e;15178;e;9179;e;5375;e;13395;e;7094;e;7454;e
;Eingetragene Lebenspartnerschaften;Insgesamt;7936;e;323;e;339;e;661;e;75;e;1809;e;670;e;346;e;798;e;1106;e;80;e;955;e;237;e;101;e;249;e;88;e;99;e
;;Männlich;4366;e;153;e;204;e;299;e;37;e;991;e;420;e;189;e;442;e;624;e;48;e;581;e;94;e;53;e;135;e;44;e;53;e
;;Weiblich;3565;e;171;e;133;e;360;e;37;e;821;e;253;e;156;e;359;e;479;e;34;e;373;e;142;e;45;e;116;e;46;e;44;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;264;e;11;e;18;e;15;e;3;e;73;e;12;e;7;e;23;e;27;e;4;e;43;e;8;e;-;;14;e;4;e;-;
;;Männlich;216;e;11;e;16;e;10;e;3;e;61;e;9;e;7;e;26;e;23;e;4;e;38;e;5;e;-;;8;e;3;e;-;
;;Weiblich;48;e;3;e;-;;5;e;-;;11;e;-;;-;;-;;5;e;-;;7;e;-;;-;;3;e;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;3191;e;102;e;153;e;274;e;24;e;745;e;275;e;132;e;245;e;418;e;36;e;483;e;110;e;31;e;92;e;37;e;41;e
;;Männlich;1471;e;35;e;87;e;106;e;15;e;341;e;140;e;47;e;98;e;202;e;13;e;292;e;21;e;12;e;32;e;14;e;14;e
;;Weiblich;1719;e;64;e;65;e;170;e;12;e;404;e;133;e;82;e;143;e;214;e;22;e;188;e;92;e;18;e;59;e;20;e;26;e
;Ohne Angabe;Insgesamt;59754;e;2263;e;1663;e;7463;e;257;e;17246;e;6869;e;4835;e;4572;e;3819;e;767;e;1013;e;1129;e;645;e;3565;e;1445;e;1445;e
;;Männlich;32377;e;1192;e;1005;e;3950;e;147;e;9590;e;3929;e;2590;e;2551;e;2100;e;379;e;457;e;489;e;296;e;1815;e;713;e;719;e
;;Weiblich;27376;e;1068;e;654;e;3515;e;108;e;7657;e;2937;e;2242;e;2022;e;1720;e;385;e;555;e;642;e;349;e;1747;e;734;e;724;e
50 bis 54 Jahre;Insgesamt;Insgesamt;6131189;e;232201;e;127876;e;609073;e;47605;e;1350265;e;468697;e;304631;e;815747;e;984300;e;72604;e;238327;e;186829;e;108786;e;273820;e;158178;e;151313;e
;;Männlich;3078434;e;114653;e;64627;e;303142;e;24073;e;673939;e;234494;e;151619;e;408568;e;493436;e;35995;e;120974;e;94700;e;55526;e;142737;e;81100;e;78299;e
;;Weiblich;3052753;e;117550;e;63247;e;305933;e;23535;e;676328;e;234202;e;153016;e;407180;e;490862;e;36614;e;117356;e;92132;e;53257;e;131081;e;77079;e;73010;e
;Ledig;Insgesamt;1191080;e;45025;e;36206;e;107550;e;11869;e;234605;e;83763;e;48035;e;137998;e;173957;e;12958;e;78908;e;45387;e;27316;e;70917;e;39063;e;37524;e
;;Männlich;715652;e;25913;e;20097;e;64638;e;7004;e;139670;e;49470;e;29481;e;82516;e;103584;e;8079;e;45304;e;28111;e;17366;e;45362;e;24899;e;24160;e
;;Weiblich;475430;e;19114;e;16112;e;42912;e;4869;e;94933;e;34292;e;18555;e;55482;e;70370;e;4877;e;33606;e;17279;e;9951;e;25552;e;14165;e;13366;e
;Verheiratet;Insgesamt;3869902;e;143964;e;67061;e;393266;e;26613;e;868853;e;301455;e;200949;e;548984;e;650147;e;45885;e;114772;e;109843;e;62811;e;156028;e;91984;e;87289;e
;;Männlich;1909735;e;70758;e;33917;e;192684;e;13285;e;429102;e;149725;e;98577;e;273057;e;322886;e;22127;e;57099;e;53020;e;30213;e;76514;e;44302;e;42475;e
;;Weiblich;1960171;e;73209;e;33148;e;200580;e;13327;e;439748;e;151735;e;102369;e;275929;e;327256;e;23761;e;57674;e;56824;e;32595;e;79509;e;47680;e;44811;e
;Verwitwet;Insgesamt;101615;e;3725;e;2111;e;10497;e;929;e;22482;e;7551;e;5414;e;12578;e;15923;e;1371;e;3507;e;3182;e;2082;e;4351;e;3133;e;2789;e
;;Männlich;21525;e;860;e;547;e;2243;e;189;e;4960;e;1550;e;1099;e;2595;e;3219;e;289;e;740;e;712;e;430;e;910;e;623;e;567;e
;;Weiblich;80088;e;2865;e;1566;e;8257;e;742;e;17520;e;6003;e;4313;e;9978;e;12699;e;1085;e;2766;e;2473;e;1648;e;3440;e;2515;e;2225;e
;Geschieden;Insgesamt;904389;e;37184;e;20498;e;90526;e;7836;e;206278;e;68768;e;45469;e;110899;e;139105;e;11533;e;38676;e;27151;e;15889;e;39524;e;22683;e;22376;e
;;Männlich;397020;e;15992;e;8863;e;39899;e;3398;e;90440;e;29665;e;19916;e;47574;e;60845;e;5095;e;16374;e;12267;e;7161;e;18417;e;10620;e;10487;e
;;Weiblich;507367;e;21194;e;11634;e;50626;e;4435;e;115836;e;39103;e;25550;e;63322;e;78258;e;6441;e;22300;e;14887;e;8731;e;21104;e;12062;e;11887;e
;Eingetragene Lebenspartnerschaften;Insgesamt;9951;e;346;e;434;e;767;e;96;e;2458;e;779;e;467;e;984;e;1432;e;103;e;1159;e;310;e;125;e;291;e;114;e;101;e
;;Männlich;5891;e;180;e;275;e;426;e;47;e;1444;e;501;e;260;e;565;e;846;e;53;e;797;e;149;e;73;e;165;e;58;e;47;e
;;Weiblich;4058;e;165;e;158;e;341;e;47;e;1011;e;279;e;206;e;417;e;589;e;49;e;360;e;163;e;49;e;122;e;54;e;50;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;549;e;20;e;26;e;36;e;6;e;137;e;57;e;27;e;52;e;67;e;4;e;67;e;10;e;5;e;20;e;9;e;3;e
